Metadata,,,,,,,,,,,,,,,
This file contains observations for an area of interest.,,,,,,,,,,,,,,,
Exported 2026-03-13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
eventDate,kingdom,phylum,class,order,family,genus,scientificName,vernacularName,,stateConservation,occurrenceRemarks,habitat,#B,decimalLatitude,decimalLongitude
17/09/2021 6:56,Animalia,Chordata,Aves,Passeriformes,Neosittidae,Daphoenositta,Daphoenositta (Neositta) chrysoptera,Varied Sittella,0,Vulnerable,Flew from first main hillside over creek,NA,,-33.734207,150.226836
17/09/2021 6:56,Animalia,Chordata,Aves,Passeriformes,Neosittidae,Daphoenositta,Daphoenositta (Neositta) chrysoptera,Varied Sittella,0,Vulnerable,Flew from first main hillside over creek,NA,,-33.734207,150.226836
23/04/2016 14:29,Animalia,Chordata,Aves,Passeriformes,Neosittidae,Daphoenositta,Daphoenositta (Neositta) chrysoptera,Varied Sittella,0,Vulnerable,NA,NA,,-33.701389,150.253333
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.675726,150.269187
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.675726,150.26921
10/08/2021 16:49,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,NA,NA,,-33.71,150.3
27/03/2024 15:30,Animalia,Chordata,Aves,Passeriformes,Neosittidae,Daphoenositta,Daphoenositta (Neositta) chrysoptera,Varied Sittella,0,Vulnerable,NA,NA,,-33.679222,150.277174
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.675562,150.269139
22/11/2024,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.736581,150.265856
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.673949,150.269158
3/11/2021,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,Petauroides volans,Southern Greater Glider,0,Endangered,occurrenceRemarks withheld,NA,,-33.70731,150.2496
16/09/2018,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,Petauroides volans,Southern Greater Glider,0,Endangered,occurrenceRemarks withheld,NA,,-33.70614,150.3002
19/09/2023,Animalia,Chordata,Mammalia,Diprotodontia,Burramyidae,Cercartetus,Cercartetus nanus,Eastern Pygmy-possum,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.692748,150.289534
18/05/2020 8:14,Animalia,Chordata,Aves,Passeriformes,Neosittidae,Daphoenositta,Daphoenositta (Neositta) chrysoptera,Varied Sittella,0,Vulnerable,NA,NA,,-33.734207,150.226836
27/12/2021 11:01,Animalia,Chordata,Aves,Passeriformes,Neosittidae,Daphoenositta,Daphoenositta (Neositta) chrysoptera,Varied Sittella,0,Vulnerable,NA,NA,,-33.734207,150.226836
20/12/2019,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus poliocephalus,Grey-headed Flying-fox,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.70614,150.3002
3/11/2021,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,Petauroides volans,Southern Greater Glider,0,Endangered,occurrenceRemarks withheld,NA,,-33.70561,150.25223
22/11/2024,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.736711,150.265104
3/11/2021,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,Petauroides volans,Southern Greater Glider,0,Endangered,occurrenceRemarks withheld,NA,,-33.70617,150.2495
16/07/2025 11:20,Plantae,Charophyta,Equisetopsida,Pinales,Podocarpaceae,Pherosphaera,Pherosphaera fitzgeraldii,Dwarf Mountain Pine,0,Endangered,NA,NA,,-33.718522,150.297758
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,1,Vulnerable,occurrenceRemarks withheld,NA,,-33.6727,150.269338
22/11/2024,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.736955,150.26472
9/12/2021,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon purpurascens,NA,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.723101,150.246888
27/09/2020,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Pseudophryne,Pseudophryne australis,Red-crowned Broodfrog,0,Vulnerable,NA,NA,,-33.6975,150.293
12/07/2023,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,occurrenceRemarks withheld,habitat withheld,,-33.69,150.29
26/04/2024 14:39,Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Leionema,Leionema lachnaeoides,NA,0,Endangered,NA,NA,,-33.725211,150.28849
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.675589,150.269117
9/11/2024 9:03,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Pyrrholaemus,Pyrrholaemus sagittatus,Speckled Warbler,0,Vulnerable,NA,NA,,-33.734207,150.226836
